menu,title,lat,lng,content,image,type,tl
チドリ目シギ科,ケリ,35.124711,135.975475,甲高い声で鳴きます。,ケリ.JPG,留鳥,
チドリ目シギ科,イソシギ,,,,イソシギ.JPG,留鳥,
